# 🧠 CHARLES'S SUPER BRAIN - COMPREHENSIVE STOCK SCAN
## 2026-03-01 | 176 Stocks Scanned

## 📊 SCAN SUMMARY
- Total Stocks: 176
- Hidden Gems Found: 30
- Top 120 Selected: 120

## 💎 TOP 30 HIDDEN GEMS
| Rank | Code | Name | Sector | Quality | Score | Signal |
|------|------|------|--------|---------|-------|--------|
| 1 | 600276 | 恒瑞医药 | 医药 | 82 | **84.3** | 🎯 STRONG |
| 2 | 300003 | 乐普医疗 | 医药 | 78 | **82.9** | 🎯 STRONG |
| 3 | 0185 | 众安在线 | 科技 | 70 | **80.3** | 🎯 STRONG |
| 4 | 300039 | 上海钢联 | 科技 | 70 | **79.3** | 🟢 BUY |
| 5 | 300142 | 沃森生物 | 医药 | 75 | **78.9** | 🟢 BUY |
| 6 | 000028 | 国药一致 | 医药 | 72 | **78.7** | 🟢 BUY |
| 7 | 300033 | 同花顺 | 科技 | 78 | **78.6** | 🟢 BUY |
| 8 | 300026 | 红日药业 | 医药 | 68 | **78.5** | 🟢 BUY |
| 9 | 0669 | 创科实业 | 科技 | 68 | **77.8** | 🟢 BUY |
| 10 | 300408 | 三环集团 | 科技 | 72 | **77.3** | 🟢 BUY |
| 11 | 600111 | 北方稀土 | 稀土 | 72 | **76.7** | 🟢 BUY |
| 12 | 600183 | 生益科技 | 电子 | 72 | **76.4** | 🟢 BUY |
| 13 | 600161 | 天坛生物 | 医药 | 75 | **76.2** | 🟢 BUY |
| 14 | 600887 | 伊利股份 | 消费 | 75 | **75.6** | 🟢 BUY |
| 15 | 002475 | 立讯精密 | 科技 | 75 | **75.6** | 🟢 BUY |
| 16 | 1810 | 小米集团 | 科技 | 72 | **75.4** | 🟢 BUY |
| 17 | 300682 | 朗新科技 | 科技 | 68 | **75.2** | 🟢 BUY |
| 18 | 600196 | 复星医药 | 医药 | 78 | **75.2** | 🟢 BUY |
| 19 | 9618 | 京东集团 | 科技 | 80 | **75** | 🟢 BUY |
| 20 | 300036 | 航发动力 | 军工 | 75 | **75** | 🟢 BUY |
| 21 | 000034 | 神州数码 | 科技 | 60 | **75** | 🟢 BUY |
| 22 | 000039 | 中集集团 | 制造 | 70 | **74.7** | 🟢 BUY |
| 23 | 600030 | 中信证券 | 金融 | 72 | **73.8** | 🟢 BUY |
| 24 | 600216 | 南京医药 | 医药 | 60 | **73.8** | 🟢 BUY |
| 25 | 835670 | 数字人 | AI教育 | 68 | **73.6** | 🟢 BUY |
| 26 | 600309 | 万华化学 | 化工 | 80 | **73.1** | 🟢 BUY |
| 27 | 871212 | 安达科技 | 新能源 | 65 | **73.1** | 🟢 BUY |
| 28 | 300015 | 爱尔眼科 | 医药 | 85 | **73** | 🟢 BUY |
| 29 | 300059 | 东方财富 | 金融 | 80 | **72.7** | 🟢 BUY |
| 30 | 600176 | 中国巨石 | 建材 | 70 | **72.7** | 🟢 BUY |

## 📊 TOP 120 STOCKS
| Rank | Code | Name | Sector | Quality | Smart40 | Quality30 | Momentum20 | Risk10 | Total | Signal |
| 27 | 300682 | 朗新科技 | 科技 | 68 | 76 | 68 | 90 | 64 | **75.2** | 🟢 |
| 28 | 600196 | 复星医药 | 医药 | 78 | 74 | 78 | 82 | 59 | **75.2** | 🟢 |
| 29 | 9618 | 京东集团 | 科技 | 80 | 63 | 80 | 90 | 76 | **75** | 🟢 |
| 30 | 300036 | 航发动力 | 军工 | 75 | 77 | 75 | 75 | 68 | **75** | 🟢 |
| 31 | 000034 | 神州数码 | 科技 | 60 | 82 | 60 | 90 | 61 | **75** | 🟢 |
| 32 | 000039 | 中集集团 | 制造 | 70 | 84 | 70 | 70 | 60 | **74.7** | 🟢 |
| 33 | 600519 | 贵州茅台 | 消费 | 95 | 60 | 95 | 75 | 68 | **74.2** | 🟢 |
| 34 | 600030 | 中信证券 | 金融 | 72 | 87 | 72 | 60 | 54 | **73.8** | 🟢 |
| 35 | 600216 | 南京医药 | 医药 | 60 | 83 | 60 | 82 | 62 | **73.8** | 🟢 |
| 36 | 835670 | 数字人 | AI教育 | 68 | 73 | 68 | 88 | 64 | **73.6** | 🟢 |
| 37 | 600309 | 万华化学 | 化工 | 80 | 73 | 80 | 70 | 61 | **73.1** | 🟢 |
| 38 | 871212 | 安达科技 | 新能源 | 65 | 75 | 65 | 88 | 62 | **73.1** | 🟢 |
| 39 | 300015 | 爱尔眼科 | 医药 | 85 | 58 | 85 | 82 | 79 | **73** | 🟢 |
| 40 | 300059 | 东方财富 | 金融 | 80 | 74 | 80 | 60 | 72 | **72.7** | 🟢 |
| 41 | 600176 | 中国巨石 | 建材 | 70 | 83 | 70 | 60 | 67 | **72.7** | 🟢 |
| 42 | 300212 | 易瑞生物 | 医药 | 58 | 79 | 58 | 82 | 72 | **72.6** | 🟢 |
| 43 | 300008 | 上海佳豪 | 科技 | 55 | 76 | 55 | 90 | 73 | **72.2** | 🟢 |
| 44 | 000858 | 五粮液 | 消费 | 88 | 59 | 88 | 75 | 71 | **72.1** | 🟢 |
| 45 | 300035 | 中科电气 | 设备 | 58 | 86 | 58 | 65 | 73 | **72** | 🟢 |
| 46 | 600222 | 万邦达 | 环保 | 55 | 86 | 55 | 72 | 68 | **72** | 🟢 |
| 47 | 0857 | 中国光大 | 金融 | 65 | 82 | 65 | 60 | 76 | **71.9** | 🟢 |
| 48 | 300001 | 睿创微纳 | 科技 | 62 | 70 | 62 | 90 | 68 | **71.6** | 🟢 |
| 49 | 300347 | 泰格医药 | 医药 | 80 | 62 | 80 | 82 | 64 | **71.6** | 🟢 |
| 50 | 600211 | 西藏药业 | 医药 | 58 | 76 | 58 | 82 | 71 | **71.4** | 🟢 |
| 51 | 300018 | 中科创达 | 科技 | 78 | 59 | 78 | 90 | 65 | **71.3** | 🟢 |
| 52 | 600150 | 中国船舶 | 制造 | 65 | 82 | 65 | 70 | 52 | **71.3** | 🟢 |
| 53 | 000035 | 中国天楹 | 环保 | 55 | 89 | 55 | 72 | 50 | **71.3** | 🟢 |
| 54 | 300014 | 亿纬锂能 | 新能源 | 85 | 55 | 85 | 88 | 61 | **71.1** | 🟢 |
| 55 | 300498 | 温氏股份 | 农业 | 65 | 87 | 65 | 55 | 55 | **70.9** | 🟢 |
| 56 | 1024 | 快手 | 科技 | 75 | 56 | 75 | 90 | 76 | **70.6** | 🟢 |
| 57 | 2318 | 中国平安 | 金融 | 75 | 75 | 75 | 60 | 58 | **70.5** | 🟢 |
| 58 | 600036 | 招商银行 | 金融 | 80 | 67 | 80 | 60 | 76 | **70.5** | 🟢 |
| 59 | 300454 | 网宿科技 | 科技 | 60 | 69 | 60 | 90 | 65 | **70.2** | 🟢 |
| 60 | 300007 | 华鹏飞 | 物流 | 50 | 88 | 50 | 68 | 63 | **69.9** | 🟡 |
| 61 | 000651 | 格力电器 | 家电 | 75 | 68 | 75 | 72 | 57 | **69.7** | 🟡 |
| 62 | 600089 | 特变电工 | 新能源 | 68 | 65 | 68 | 88 | 56 | **69.5** | 🟡 |
| 63 | 000022 | 深赤湾A | 物流 | 58 | 82 | 58 | 68 | 55 | **69.5** | 🟡 |
| 64 | 000040 | 东旭蓝天 | 环保 | 52 | 80 | 52 | 72 | 74 | **69.5** | 🟡 |
| 65 | 300017 | 网宿科技 | 科技 | 60 | 64 | 60 | 90 | 75 | **69.2** | 🟡 |
| 66 | 600690 | 青岛海尔 | 家电 | 74 | 67 | 74 | 72 | 56 | **69** | 🟡 |
| 67 | 601012 | 隆基绿能 | 新能源 | 70 | 62 | 70 | 88 | 55 | **69** | 🟡 |
| 68 | 300020 | 银江股份 | 科技 | 52 | 69 | 52 | 90 | 77 | **68.9** | 🟡 |
| 69 | 600227 | 赤峰黄金 | 黄金 | 65 | 75 | 65 | 72 | 51 | **68.9** | 🟡 |
| 70 | 871453 | 瑞华技术 | 化工 | 55 | 77 | 55 | 70 | 77 | **68.8** | 🟡 |
| 71 | 300122 | 智飞生物 | 医药 | 82 | 53 | 82 | 82 | 63 | **68.7** | 🟡 |
| 72 | 300009 | 京泉华 | 电子 | 52 | 82 | 52 | 70 | 62 | **68.6** | 🟡 |
| 73 | 835992 | 戈碧迦 | 新材料 | 62 | 67 | 62 | 85 | 59 | **68.4** | 🟡 |
| 74 | 000786 | 北新建材 | 建材 | 70 | 74 | 70 | 60 | 59 | **68.4** | 🟡 |
| 75 | 300034 | 钢研高纳 | 材料 | 62 | 73 | 62 | 72 | 60 | **68.3** | 🟡 |
| 76 | 872926 | 贝特瑞 | 新能源 | 75 | 57 | 75 | 88 | 53 | **68.2** | 🟡 |
| 77 | 000021 | 深科技 | 科技 | 62 | 60 | 62 | 90 | 76 | **68.2** | 🟡 |
| 78 | 000016 | 深康佳A | 家电 | 52 | 77 | 52 | 72 | 74 | **68.1** | 🟡 |
| 79 | 600028 | 中国石化 | 能源 | 58 | 86 | 58 | 45 | 72 | **68** | 🟡 |
| 80 | 870299 | 吉林碳谷 | 新材料 | 72 | 57 | 72 | 85 | 65 | **68** | 🟡 |
| 81 | 600170 | 上海建工 | 基建 | 58 | 79 | 58 | 60 | 67 | **67.8** | 🟡 |
| 82 | 000027 | 深圳能源 | 能源 | 65 | 83 | 65 | 45 | 63 | **67.8** | 🟡 |
| 83 | 300002 | 红宝丽 | 化工 | 55 | 75 | 55 | 70 | 70 | **67.7** | 🟡 |
| 84 | 873169 | 七丰精工 | 制造 | 60 | 74 | 60 | 70 | 60 | **67.5** | 🟡 |
| 85 | 872541 | 万达轴承 | 设备 | 52 | 79 | 52 | 65 | 71 | **67.4** | 🟡 |
| 86 | 000333 | 美的集团 | 家电 | 82 | 52 | 82 | 72 | 74 | **67.4** | 🟡 |
| 87 | 1398 | 工商银行 | 金融 | 70 | 71 | 70 | 60 | 58 | **67.2** | 🟡 |
| 88 | 300004 | 浩丰科技 | 科技 | 48 | 67 | 48 | 90 | 78 | **67.2** | 🟡 |
| 89 | 300005 | 锦富股份 | 科技 | 45 | 73 | 45 | 90 | 63 | **67.2** | 🟡 |
| 90 | 300024 | 机器人 | 科技 | 70 | 54 | 70 | 90 | 65 | **67.2** | 🟡 |
| 91 | 002415 | 海康威视 | 科技 | 78 | 51 | 78 | 90 | 55 | **67.2** | 🟡 |
| 92 | 600236 | 昆山石化 | 化工 | 58 | 72 | 58 | 70 | 70 | **67.1** | 🟡 |
| 93 | 600016 | 民生银行 | 金融 | 62 | 75 | 62 | 60 | 62 | **67** | 🟡 |
| 94 | 300030 | 阳普医疗 | 医药 | 52 | 68 | 52 | 82 | 78 | **66.9** | 🟡 |
| 95 | 000025 | 特力A | 汽配 | 48 | 79 | 48 | 65 | 74 | **66.6** | 🟡 |
| 96 | 300025 | 华星创业 | 科技 | 45 | 71 | 45 | 90 | 64 | **66.5** | 🟡 |
| 97 | 300226 | 上海钢联 | 科技 | 70 | 53 | 70 | 90 | 63 | **66.5** | 🟡 |
| 98 | 000009 | 中国宝安 | 综合 | 55 | 83 | 55 | 50 | 66 | **66.4** | 🟡 |
| 99 | 300031 | 金瑞矿业 | 矿业 | 48 | 88 | 48 | 55 | 56 | **66.2** | 🟡 |
| 100 | 600585 | 海螺水泥 | 建材 | 72 | 67 | 72 | 60 | 56 | **66.1** | 🟡 |
| 101 | 300676 | 君正集团 | 化工 | 68 | 61 | 68 | 70 | 70 | **66** | 🟡 |
| 102 | 0762 | 中国铁建 | 基建 | 65 | 72 | 65 | 60 | 57 | **66** | 🟡 |
| 103 | 000032 | 深桑达A | 科技 | 55 | 64 | 55 | 90 | 54 | **65.5** | 🟡 |
| 104 | 000019 | 深深宝A | 食品 | 45 | 83 | 45 | 60 | 65 | **65.2** | 🟡 |
| 105 | 300021 | 大禹节水 | 环保 | 55 | 66 | 55 | 72 | 75 | **64.9** | 🟡 |
| 106 | 000002 | 万科A | 地产 | 50 | 87 | 50 | 35 | 79 | **64.8** | 🟡 |
| 107 | 300010 | 立思辰 | 科技 | 58 | 53 | 58 | 90 | 79 | **64.7** | 🟡 |
| 108 | 7726 | 医渡科技 | 医疗 | 62 | 64 | 62 | 70 | 62 | **64.2** | 🟡 |
| 109 | 000725 | 京东方A | 科技 | 60 | 52 | 60 | 90 | 75 | **64.2** | 🟡 |
| 110 | 300037 | 金山股份 | 电力 | 52 | 70 | 52 | 65 | 76 | **64.1** | 🟡 |
| 111 | 870366 | 酒仙网 | 消费 | 58 | 60 | 58 | 75 | 77 | **64.1** | 🟡 |
| 112 | 300032 | 金龙机 | 设备 | 45 | 75 | 45 | 65 | 74 | **64** | 🟡 |
| 113 | 300027 | 华谊兄弟 | 传媒 | 55 | 71 | 55 | 58 | 73 | **63.8** | 🟡 |
| 114 | 600050 | 中国联通 | 通信 | 55 | 75 | 55 | 55 | 63 | **63.7** | 🟡 |
| 115 | 300029 | 天晟新材 | 材料 | 42 | 73 | 42 | 72 | 74 | **63.6** | 🟡 |
| 116 | 600104 | 上汽集团 | 汽车 | 65 | 59 | 65 | 70 | 66 | **63.6** | 🟡 |
| 117 | 000001 | 平安银行 | 金融 | 68 | 64 | 68 | 60 | 55 | **63.6** | 🟡 |
| 118 | 601857 | 中国石油 | 能源 | 60 | 74 | 60 | 45 | 69 | **63.5** | 🟡 |
| 119 | 300022 | 吉峰科技 | 农业 | 42 | 79 | 42 | 55 | 80 | **63.4** | 🟡 |
| 120 | 870864 | 红东方 | 化工 | 70 | 54 | 70 | 70 | 65 | **63.2** | 🟡 |

---
*🧠 Charles's Super Brain - Comprehensive Scanner*
*Scanned 176 stocks, filtered to top 120*
