# 🧠 CHARLES'S SUPER BRAIN - COMPREHENSIVE STOCK SCAN
## 2026-03-17 | 176 Stocks Scanned

## 📊 SCAN SUMMARY
- Total Stocks: 176
- Hidden Gems Found: 30
- Top 120 Selected: 120

## 💎 TOP 30 HIDDEN GEMS
| Rank | Code | Name | Sector | Quality | Score | Signal |
|------|------|------|--------|---------|-------|--------|
| 1 | 002415 | 海康威视 | 科技 | 78 | **84.6** | 🎯 STRONG |
| 2 | 300014 | 亿纬锂能 | 新能源 | 85 | **84.3** | 🎯 STRONG |
| 3 | 000858 | 五粮液 | 消费 | 88 | **83.1** | 🎯 STRONG |
| 4 | 300015 | 爱尔眼科 | 医药 | 85 | **81.8** | 🎯 STRONG |
| 5 | 872926 | 贝特瑞 | 新能源 | 75 | **81.1** | 🎯 STRONG |
| 6 | 300226 | 上海钢联 | 科技 | 70 | **80.3** | 🎯 STRONG |
| 7 | 835670 | 数字人 | AI教育 | 68 | **79.9** | 🟢 BUY |
| 8 | 300018 | 中科创达 | 科技 | 78 | **79.7** | 🟢 BUY |
| 9 | 002475 | 立讯精密 | 科技 | 75 | **78.7** | 🟢 BUY |
| 10 | 600276 | 恒瑞医药 | 医药 | 82 | **78.4** | 🟢 BUY |
| 11 | 1024 | 快手 | 科技 | 75 | **78.2** | 🟢 BUY |
| 12 | 0185 | 众安在线 | 科技 | 70 | **78.2** | 🟢 BUY |
| 13 | 600887 | 伊利股份 | 消费 | 75 | **77.3** | 🟢 BUY |
| 14 | 300033 | 同花顺 | 科技 | 78 | **77.1** | 🟢 BUY |
| 15 | 600089 | 特变电工 | 新能源 | 68 | **77.1** | 🟢 BUY |
| 16 | 300682 | 朗新科技 | 科技 | 68 | **76.9** | 🟢 BUY |
| 17 | 870299 | 吉林碳谷 | 新材料 | 72 | **76.8** | 🟢 BUY |
| 18 | 300003 | 乐普医疗 | 医药 | 78 | **76.5** | 🟢 BUY |
| 19 | 000028 | 国药一致 | 医药 | 72 | **76.4** | 🟢 BUY |
| 20 | 300347 | 泰格医药 | 医药 | 80 | **76.3** | 🟢 BUY |
| 21 | 2318 | 中国平安 | 金融 | 75 | **75.9** | 🟢 BUY |
| 22 | 600233 | 圆通速递 | 物流 | 68 | **75.9** | 🟢 BUY |
| 23 | 300408 | 三环集团 | 科技 | 72 | **75.7** | 🟢 BUY |
| 24 | 600176 | 中国巨石 | 建材 | 70 | **75.7** | 🟢 BUY |
| 25 | 600196 | 复星医药 | 医药 | 78 | **74.4** | 🟢 BUY |
| 26 | 9618 | 京东集团 | 科技 | 80 | **74.3** | 🟢 BUY |
| 27 | 300034 | 钢研高纳 | 材料 | 62 | **73.9** | 🟢 BUY |
| 28 | 300024 | 机器人 | 科技 | 70 | **73.6** | 🟢 BUY |
| 29 | 871212 | 安达科技 | 新能源 | 65 | **73.4** | 🟢 BUY |
| 30 | 0669 | 创科实业 | 科技 | 68 | **72.8** | 🟢 BUY |

## 📊 TOP 120 STOCKS
| Rank | Code | Name | Sector | Quality | Smart40 | Quality30 | Momentum20 | Risk10 | Total | Signal |
| 28 | 300408 | 三环集团 | 科技 | 72 | 75 | 72 | 90 | 62 | **75.7** | 🟢 |
| 29 | 600176 | 中国巨石 | 建材 | 70 | 89 | 70 | 60 | 70 | **75.7** | 🟢 |
| 30 | 0700 | 腾讯控股 | 科技 | 95 | 56 | 95 | 90 | 61 | **74.9** | 🟢 |
| 31 | 600196 | 复星医药 | 医药 | 78 | 74 | 78 | 82 | 51 | **74.4** | 🟢 |
| 32 | 9618 | 京东集团 | 科技 | 80 | 61 | 80 | 90 | 78 | **74.3** | 🟢 |
| 33 | 300034 | 钢研高纳 | 材料 | 62 | 89 | 62 | 72 | 54 | **73.9** | 🟢 |
| 34 | 300024 | 机器人 | 科技 | 70 | 72 | 70 | 90 | 58 | **73.6** | 🟢 |
| 35 | 000004 | 国华网安 | 科技 | 45 | 89 | 45 | 90 | 63 | **73.6** | 🟢 |
| 36 | 9988 | 阿里巴巴 | 科技 | 90 | 52 | 90 | 90 | 76 | **73.4** | 🟢 |
| 37 | 871212 | 安达科技 | 新能源 | 65 | 75 | 65 | 88 | 62 | **73.4** | 🟢 |
| 38 | 300020 | 银江股份 | 科技 | 52 | 82 | 52 | 90 | 69 | **73.3** | 🟢 |
| 39 | 0669 | 创科实业 | 科技 | 68 | 70 | 68 | 90 | 65 | **72.8** | 🟢 |
| 40 | 300001 | 睿创微纳 | 科技 | 62 | 72 | 62 | 90 | 71 | **72.3** | 🟢 |
| 41 | 600161 | 天坛生物 | 医药 | 75 | 67 | 75 | 82 | 64 | **72.2** | 🟢 |
| 42 | 1398 | 工商银行 | 金融 | 70 | 79 | 70 | 60 | 75 | **72.1** | 🟢 |
| 43 | 600216 | 南京医药 | 医药 | 60 | 76 | 60 | 82 | 75 | **72.1** | 🟢 |
| 44 | 000012 | 南玻A | 建材 | 58 | 88 | 58 | 60 | 73 | **72** | 🟢 |
| 45 | 000034 | 神州数码 | 科技 | 60 | 70 | 60 | 90 | 78 | **72** | 🟢 |
| 46 | 1810 | 小米集团 | 科技 | 72 | 65 | 72 | 90 | 63 | **71.8** | 🟢 |
| 47 | 300006 | 莱美药业 | 医药 | 52 | 85 | 52 | 82 | 59 | **71.8** | 🟢 |
| 48 | 600226 | 升华拜克 | 化工 | 50 | 89 | 50 | 70 | 68 | **71.6** | 🟢 |
| 49 | 870864 | 红东方 | 化工 | 70 | 74 | 70 | 70 | 68 | **71.5** | 🟢 |
| 50 | 300021 | 大禹节水 | 环保 | 55 | 88 | 55 | 72 | 54 | **71.3** | 🟢 |
| 51 | 000725 | 京东方A | 科技 | 60 | 68 | 60 | 90 | 79 | **71.1** | 🟢 |
| 52 | 300010 | 立思辰 | 科技 | 58 | 75 | 58 | 90 | 56 | **70.9** | 🟢 |
| 53 | 300027 | 华谊兄弟 | 传媒 | 55 | 88 | 55 | 58 | 78 | **70.9** | 🟢 |
| 54 | 300036 | 航发动力 | 军工 | 75 | 70 | 75 | 75 | 55 | **70.9** | 🟢 |
| 55 | 3580 | 金融科技 | 金融 | 65 | 82 | 65 | 60 | 64 | **70.7** | 🟢 |
| 56 | 000022 | 深赤湾A | 物流 | 58 | 81 | 58 | 68 | 74 | **70.7** | 🟢 |
| 57 | 000039 | 中集集团 | 制造 | 70 | 75 | 70 | 70 | 55 | **70.3** | 🟢 |
| 58 | 600309 | 万华化学 | 化工 | 80 | 62 | 80 | 70 | 73 | **70.1** | 🟢 |
| 59 | 872541 | 万达轴承 | 设备 | 52 | 85 | 52 | 65 | 74 | **70** | 🟢 |
| 60 | 300009 | 京泉华 | 电子 | 52 | 84 | 52 | 70 | 63 | **69.7** | 🟡 |
| 61 | 600690 | 青岛海尔 | 家电 | 74 | 67 | 74 | 72 | 62 | **69.6** | 🟡 |
| 62 | 601857 | 中国石油 | 能源 | 60 | 89 | 60 | 45 | 68 | **69.6** | 🟡 |
| 63 | 600150 | 中国船舶 | 制造 | 65 | 73 | 65 | 70 | 66 | **69.3** | 🟡 |
| 64 | 601012 | 隆基绿能 | 新能源 | 70 | 61 | 70 | 88 | 62 | **69.2** | 🟡 |
| 65 | 872951 | 华韵股份 | 传媒 | 55 | 87 | 55 | 58 | 63 | **69.2** | 🟡 |
| 66 | 000021 | 深科技 | 科技 | 62 | 64 | 62 | 90 | 70 | **69.2** | 🟡 |
| 67 | 600236 | 昆山石化 | 化工 | 58 | 75 | 58 | 70 | 76 | **69** | 🟡 |
| 68 | 300017 | 网宿科技 | 科技 | 60 | 65 | 60 | 90 | 67 | **68.6** | 🟡 |
| 69 | 600111 | 北方稀土 | 稀土 | 72 | 63 | 72 | 78 | 60 | **68.6** | 🟡 |
| 70 | 300059 | 东方财富 | 金融 | 80 | 65 | 80 | 60 | 66 | **68.4** | 🟡 |
| 71 | 300039 | 上海钢联 | 科技 | 70 | 58 | 70 | 90 | 59 | **68** | 🟡 |
| 72 | 000333 | 美的集团 | 家电 | 82 | 54 | 82 | 72 | 71 | **67.8** | 🟡 |
| 73 | 300004 | 浩丰科技 | 科技 | 48 | 73 | 48 | 90 | 62 | **67.7** | 🟡 |
| 74 | 300012 | 华测检测 | 服务 | 65 | 68 | 65 | 65 | 77 | **67.6** | 🟡 |
| 75 | 300142 | 沃森生物 | 医药 | 75 | 54 | 75 | 82 | 71 | **67.5** | 🟡 |
| 76 | 600018 | 上港集团 | 物流 | 70 | 64 | 70 | 68 | 74 | **67.5** | 🟡 |
| 77 | 600036 | 招商银行 | 金融 | 80 | 61 | 80 | 60 | 72 | **67.5** | 🟡 |
| 78 | 600201 | 哈药股份 | 医药 | 55 | 72 | 55 | 82 | 60 | **67.5** | 🟡 |
| 79 | 600229 | 城市传媒 | 传媒 | 55 | 79 | 55 | 58 | 77 | **67.5** | 🟡 |
| 80 | 300030 | 阳普医疗 | 医药 | 52 | 72 | 52 | 82 | 67 | **67.3** | 🟡 |
| 81 | 1758 | 中国太保 | 金融 | 70 | 72 | 70 | 60 | 50 | **67** | 🟡 |
| 82 | 300676 | 君正集团 | 化工 | 68 | 62 | 68 | 70 | 78 | **67** | 🟡 |
| 83 | 000035 | 中国天楹 | 环保 | 55 | 77 | 55 | 72 | 54 | **67** | 🟡 |
| 84 | 300759 | 理财金字塔 | 金融 | 65 | 74 | 65 | 60 | 59 | **66.9** | 🟡 |
| 85 | 300023 | 宝德股份 | 设备 | 48 | 80 | 48 | 65 | 73 | **66.8** | 🟡 |
| 86 | 300038 | 梅泰诺 | 科技 | 55 | 63 | 55 | 90 | 72 | **66.8** | 🟡 |
| 87 | 300122 | 智飞生物 | 医药 | 82 | 51 | 82 | 82 | 55 | **66.8** | 🟡 |
| 88 | 835992 | 戈碧迦 | 新材料 | 62 | 63 | 62 | 85 | 58 | **66.7** | 🟡 |
| 89 | 601318 | 中国平安 | 金融 | 75 | 64 | 75 | 60 | 65 | **66.6** | 🟡 |
| 90 | 000032 | 深桑达A | 科技 | 55 | 61 | 55 | 90 | 75 | **66.5** | 🟡 |
| 91 | 600028 | 中国石化 | 能源 | 58 | 84 | 58 | 45 | 63 | **66.4** | 🟡 |
| 92 | 600222 | 万邦达 | 环保 | 55 | 72 | 55 | 72 | 67 | **66.3** | 🟡 |
| 93 | 835305 | 中创光电 | 科技 | 58 | 57 | 58 | 90 | 78 | **66.1** | 🟡 |
| 94 | 300002 | 红宝丽 | 化工 | 55 | 73 | 55 | 70 | 64 | **66** | 🟡 |
| 95 | 600050 | 中国联通 | 通信 | 55 | 83 | 55 | 55 | 54 | **66** | 🟡 |
| 96 | 600188 | 兖州煤业 | 能源 | 60 | 83 | 60 | 45 | 57 | **65.9** | 🟡 |
| 97 | 300011 | 华星创业 | 科技 | 42 | 72 | 42 | 90 | 63 | **65.8** | 🟡 |
| 98 | 600230 | 凌钢股份 | 钢铁 | 48 | 88 | 48 | 45 | 70 | **65.8** | 🟡 |
| 99 | 300026 | 红日药业 | 医药 | 68 | 58 | 68 | 82 | 56 | **65.7** | 🟡 |
| 100 | 300007 | 华鹏飞 | 物流 | 50 | 78 | 50 | 68 | 59 | **65.6** | 🟡 |
| 101 | 000040 | 东旭蓝天 | 环保 | 52 | 70 | 52 | 72 | 73 | **65.4** | 🟡 |
| 102 | 600048 | 保利发展 | 地产 | 60 | 85 | 60 | 35 | 61 | **65.3** | 🟡 |
| 103 | 600241 | 时代万恒 | 贸易 | 42 | 83 | 42 | 70 | 56 | **65.3** | 🟡 |
| 104 | 300212 | 易瑞生物 | 医药 | 58 | 63 | 58 | 82 | 61 | **65.2** | 🟡 |
| 105 | 871453 | 瑞华技术 | 化工 | 55 | 74 | 55 | 70 | 51 | **65.2** | 🟡 |
| 106 | 300498 | 温氏股份 | 农业 | 65 | 67 | 65 | 55 | 78 | **65.1** | 🟡 |
| 107 | 600211 | 西藏药业 | 医药 | 58 | 63 | 58 | 82 | 61 | **65** | 🟡 |
| 108 | 300005 | 锦富股份 | 科技 | 45 | 69 | 45 | 90 | 59 | **64.8** | 🟡 |
| 109 | 300019 | 硅宝科技 | 化工 | 58 | 69 | 58 | 70 | 59 | **64.8** | 🟡 |
| 110 | 000651 | 格力电器 | 家电 | 75 | 55 | 75 | 72 | 58 | **64.6** | 🟡 |
| 111 | 000001 | 平安银行 | 金融 | 68 | 64 | 68 | 60 | 62 | **64.1** | 🟡 |
| 112 | 300008 | 上海佳豪 | 科技 | 55 | 58 | 55 | 90 | 64 | **64** | 🟡 |
| 113 | 300035 | 中科电气 | 设备 | 58 | 70 | 58 | 65 | 54 | **63.8** | 🟡 |
| 114 | 300025 | 华星创业 | 科技 | 45 | 66 | 45 | 90 | 56 | **63.6** | 🟡 |
| 115 | 600585 | 海螺水泥 | 建材 | 72 | 58 | 72 | 60 | 67 | **63.5** | 🟡 |
| 116 | 300022 | 吉峰科技 | 农业 | 42 | 80 | 42 | 55 | 76 | **63.3** | 🟡 |
| 117 | 600183 | 生益科技 | 电子 | 72 | 52 | 72 | 70 | 69 | **63.2** | 🟡 |
| 118 | 873169 | 七丰精工 | 制造 | 60 | 64 | 60 | 70 | 55 | **63.1** | 🟡 |
| 119 | 000029 | 深深房A | 地产 | 45 | 89 | 45 | 35 | 69 | **63** | 🟡 |
| 120 | 300029 | 天晟新材 | 材料 | 42 | 75 | 42 | 72 | 59 | **62.8** | 🟡 |

---
*🧠 Charles's Super Brain - Comprehensive Scanner*
*Scanned 176 stocks, filtered to top 120*
